"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"WEBB, Mr S."|28|"Engine"|||||"Southampton"|"Trimmer"||
"WEBBER, Mr Francis Albert"|31|"Engine"|||||"Southampton"|"Leading Fireman"||
"WHITE, Mr Alfred"|32|"Engine"|||||"Southampton"|"Greaser"||
"WHITE, Mr Frank Leonard"|28|"Engine"|||||"Southampton"|"Trimmer"||
"WHITE, Mr William George"|23|"Engine"|||||"Southampton"|"Trimmer"||
"WILLIAMS, Mr Samuel S."|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"WILSON, Mr Bertie"|28|"Engine"|||||"Belfast"|"Senior Assistant 2nd. Engineer"||
"WILTON, Mr William"|45|"Engine"|||||"Southampton"|"Trimmer"||
"WITCHER, Mr Albert Ernest"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"WITT, Mr Henry Dennis"|37|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"WOOD, Mr Henry"|30|"Engine"|||||"Southampton"|"Trimmer"||
"WOODFORD, Mr Frederick"|40|"Engine"|||||"Southampton"|"Greaser"||"163"
"WYETH, Mr James Robert"|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"YOUNG, Mr Francis James"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
