"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"RHEIMS, Mr George Alexander Lucien"|33|"1st Class"|17607|"£39 12s "|||"Cherbourg"|"Businessman"|"A"|||
"RIGHINI, Mr Sante"|22|"1st Class"|17760|"£135 12s 8d"|"Servant"||"Cherbourg"|"Servant"||"232"||
"ROBBINS, Mr Victor"|42|"1st Class"|17757|"£247 10s 6d"|"Servant"||"Cherbourg"|"Servant"||||
"ROBERT, Mrs Elisabeth Walton"|43|"1st Class"|24160|"£211 6s 9d"|||"Southampton"|"Of Independent Means"|"2"|||
"ROEBLING, Mr Washington Augustus II"|31|"1st Class"|17590|"£50 9s 11d"|||"Southampton"|"Of Independent Means"||||
"ROMAINE, Mr Charles Hallace"|45|"1st Class"|111428|"£26 11s "|||"Southampton"||"9"|||
"ROOD, Mr Hugh Roscoe"|38|"1st Class"|113767|"£50 "|||"Southampton"|||||
"ROSENBAUM, Miss Edith Louise"|34|"1st Class"|17613|"£27 14s 5d"|||"Cherbourg"|"Journalist"|"11"|||
"ROSENSHINE, Mr George"|46|"1st Class"|17585|"£79 4d"|||"Cherbourg"|"Merchant"||"16"||
"ROSS, Mr John Hugo"|36|"1st Class"|13049|"£40 2s 6d"|||"Southampton"|||||
"ROTHES, Lucy Noël Martha, Countess of"|33|"1st Class"|110152|"£86 10s "|||"Southampton"|"Of Independent Means"|"8"|||
"ROTHSCHILD, Mr Martin"|46|"1st Class"|17603|"£59 8s "|||"Cherbourg"|||||
"ROTHSCHILD, Mrs Elizabeth Jane Anne"|54|"1st Class"|17603|"£59 8s "|||"Cherbourg"||"6"|||
"ROWE, Mr Alfred G."|59|"1st Class"|113790|"£26 11s "|||"Southampton"|"Landowner"||"109"||
"RYERSON, Mr Arthur Larned"|61|"1st Class"|17608|"£262 7s 6d"|||"Cherbourg"|||||
"RYERSON, Mrs Emily Maria"|48|"1st Class"|17608|"£262 7s 6d"|||"Cherbourg"||"4"|||
"RYERSON, Miss Emily Borie"|18|"1st Class"|17608|"£262 7s 6d"|||"Cherbourg"||"4"|||
"RYERSON, Miss Susan Parker ""Suzette"""|21|"1st Class"|17608|"£262 7s 6d"|||"Cherbourg"||"4"|||
"RYERSON, Master John Borie"|13|"1st Class"|17608|"£262 7s 6d"|||"Cherbourg"||"4"|||
"SAALFELD, Mr Adolphe"|47|"1st Class"|19988|"£30 10s "|||"Southampton"|"Businessman"|"3"|||
"SäGESSER, Mlle Emma"|24|"1st Class"|17477|"£69 6s "|"Servant"||"Cherbourg"|"Personal Maid"|"9"|||
"SALOMON, Mr Abraham Lincoln"|43|"1st Class"|111163|"£26 "|||"Cherbourg"|"Businessman"|"1"|||
"SCHABERT, Mrs Emma"|35|"1st Class"|13236|"£57 15s "|||"Cherbourg"||"11"|||
"SERREPLAN, Miss Auguste"|30|"1st Class"|113798|"£31 "|"Servant"||"Southampton"|"Personal Maid"|"4"|||
"SEWARD, Mr Frederic Kimber"|34|"1st Class"|113794|"£26 11s "|||"Southampton"|"Lawyer"|"7"|||
"SHUTES, Miss Elizabeth Weed"|40|"1st Class"|17582|"£153 9s 3d"|"Servant"||"Southampton"|"Governess"|"3"|||
"SILVERTHORNE, Mr Spencer Victor"|35|"1st Class"|17475|"£26 5s 9d"|||"Southampton"||"5"|||
"SILVEY, Mr William Baird"|50|"1st Class"|13507|"£55 18s "|||"Cherbourg"|||||
"SILVEY, Mrs Alice"|39|"1st Class"|13507|"£55 18s "|||"Cherbourg"||"11"|||
"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons"|56|"1st Class"|13213|"£35 10s "|||"Southampton"|"Banker"|"3"|||
"SLOPER, Mr William Thompson"|28|"1st Class"|113788|"£35 10s "|||"Southampton"|"Stockbroker"|"7"|||
"SMART, Mr John Montgomery"|56|"1st Class"|113792|"£26 11s "|||"Southampton"|||||
"SMITH, Mr James Clinch"|56|"1st Class"|17764|"£30 13s 11d"|||"Cherbourg"|"Military"||||
"SMITH, Mr Richard William"||"1st Class"|113056|"£26 "|||"Southampton"|||||
"SMITH, Mr Lucian Philip"|24|"1st Class"|13695|"£60 "|||"Cherbourg"|||||
"SMITH, Mrs Mary Eloise"|18|"1st Class"|13695|"£60 "|||"Cherbourg"||"6"|||
"SNYDER, Mr John Pillsbury"|24|"1st Class"|21228|"£82 5s 4d"|||"Southampton"||"7"|||
"SNYDER, Mrs Nelle"|23|"1st Class"|21228|"£82 5s 4d"|||"Southampton"||"7"|||
"SPEDDEN, Mr Frederic Oakley"|45|"1st Class"|16966|"£134 10s "|||"Cherbourg"||"3"|||
"SPEDDEN, Mrs Margaretta Corning"|39|"1st Class"|16966|"£134 10s "|||"Cherbourg"||"3"|||
"SPEDDEN, Master Robert Douglas"|6|"1st Class"|16966|"£134 10s "|||"Cherbourg"||"3"|||
"SPENCER, Mr William Augustus"|57|"1st Class"|17569|"£146 10s 5d"|||"Cherbourg"|||||
"SPENCER, Mrs Marie Eugenie"|45|"1st Class"|17569|"£146 10s 5d"|||"Cherbourg"||"6"|||
"STäHELIN-MAEGLIN, Dr Max"|32|"1st Class"|13214|"£30 10s "|||"Southampton"|"Lawyer"|"3"|||
"STEAD, Mr William Thomas"|62|"1st Class"|113514|"£26 11s "|||"Southampton"|"Journalist"||||
"STENGEL, Mr Charles Emil Henry"|54|"1st Class"|11778|"£55 8s 10d"|||"Cherbourg"|"Businessman"|"1"|||
"STENGEL, Mrs Annie May"|44|"1st Class"|11778|"£55 8s 10d"|||"Cherbourg"||"5"|||
"STEPHENSON, Mrs Martha"|52|"1st Class"|36947|"£78 5s 4d"|||"Cherbourg"||"4"|||
"STEWART, Mr Albert A."|54|"1st Class"|17605|"£27 14s 5d"|||"Cherbourg"|"Businessman"||||
"STONE, Mrs Martha Evelyn"|62|"1st Class"|113572|"£80 "|||"Southampton"||"6"|||
"STRAUS, Mr Isidor"|67|"1st Class"|17483|"£221 15s 7d"|||"Southampton"|"Businessman"||"96"||
"STRAUS, Mrs Rosalie Ida"|63|"1st Class"|17483|"£221 15s 7d"|||"Southampton"|||||
"SUTTON, Mr Frederick"|61|"1st Class"|36963|"£32 6s 5d"|||"Southampton"|"Property Developer / Real Estate"||"46"||
"SWIFT, Mrs Margaret Welles"|46|"1st Class"|17466|"£25 18s 7d"|||"Southampton"||"8"|||
"TAUSSIG, Mr Emil"|52|"1st Class"|110413|"£79 13s "|||"Southampton"|||||
"TAUSSIG, Mrs Tillie"|39|"1st Class"|110413|"£79 13s "|||"Southampton"||"8"|||
"TAUSSIG, Miss Ruth"|18|"1st Class"|110413|"£79 13s "|||"Southampton"||"8"|||
"TAYLOR, Mr Elmer Zebley"|48|"1st Class"|19996|"£52 "|||"Southampton"|"Manufacturer"|"5"|||
"TAYLOR, Mrs Juliet Cummins"|49|"1st Class"|19996|"£52 "|||"Southampton"||"5"|||
"THAYER, Mr John Borland"|49|"1st Class"|17421|"£110 17s 8d"|||"Cherbourg"|"Businessman"||||
"THAYER, Mrs Marian Longstreth"|39|"1st Class"|17421|"£110 17s 8d"|||"Cherbourg"||"4"|||
"THAYER, Mr John Borland jr"|17|"1st Class"|17421|"£110 17s 8d"|||"Cherbourg"|"Scholar"|"B"|||
"THORNE, Miss Gertrude Maybelle"|38|"1st Class"|17585|"£80 4d"|||"Cherbourg"||"D"|||
"TUCKER, Mr Gilbert Milligan jr"|31|"1st Class"|2543|"£28 10s 9d"|||"Cherbourg"||"7"|||
"URUCHURTU, Don. Manuel Ramirez"|39|"1st Class"|17601|"£27 14s 5d"|||"Cherbourg"|"Lawyer"||||
"VAN DER HOEF, Mr Wyckoff"|61|"1st Class"|111240|"£33 10s "|||"Belfast"|"Businessman"||"245"||
"WALKER, Mr William Anderson"|48|"1st Class"|36967|"£34 5d"|||"Southampton"|||||
"WARD, Miss Annie Moore"|38|"1st Class"|17755|"£512 6s 7d"|"Servant"||"Cherbourg"|"Personal Maid"|"3"|||
"WARREN, Mr Frank Manley"|63|"1st Class"|110813|"£75 5s "|||"Cherbourg"|||||
"WARREN, Mrs Anna Sophia"|60|"1st Class"|110813|"£75 5s "|||"Cherbourg"||"5"|||
"WEIR, Colonel John"|59|"1st Class"|113800|"£26 11s "|||"Southampton"|"Military"||||
"WHITE, Mr Percival Wayland"|54|"1st Class"|35281|"£77 5s 9d"|||"Southampton"|"Manufacturer"||||
"WHITE, Mr Richard Frasar"|21|"1st Class"|35281|"£77 5s 9d"|||"Southampton"|||"169"||
"WHITE, Mrs Ella"|55|"1st Class"|17760|"£135 12s 8d"|||"Cherbourg"||"8"|||
"WICK, Mr George Dennick"|57|"1st Class"|36928|"£164 17s 4d"|||"Southampton"|||||
"WICK, Mrs Mary"|45|"1st Class"|36928|"£164 17s 4d"|||"Southampton"||"8"|||
"WICK, Miss Mary Natalie"|31|"1st Class"|36928|"£164 17s 4d"|||"Southampton"||"8"|||
"WIDENER, Mr George Dunton"|50|"1st Class"|113503|"£211 10s "|||"Southampton"|"Banker"||||
"WIDENER, Mrs Eleanor"|50|"1st Class"|113503|"£211 10s "|||"Southampton"||"4"|||
"WIDENER, Mr Harry Elkins"|27|"1st Class"|113503|"£211 10s "|||"Southampton"|"Bibliophile"||||
"WILLARD, Miss Constance"|21|"1st Class"|113795|"£26 11s "|||"Southampton"||"8"|||
"WILLIAMS, Mr Charles Duane"|51|"1st Class"|17597|"£61 7s 7d"|||"Cherbourg"|"Lawyer"||||
"WILLIAMS, Mr Richard Norris II"|21|"1st Class"|17597|"£61 7s 7d"|||"Cherbourg"|"Sportsman"|"A"|||
"WILSON, Miss Helen Alice"|31|"1st Class"|16966|"£134 10s "|"Servant"||"Cherbourg"|"Personal Maid"|"3"|||
"WOOLNER, Mr Hugh"|45|"1st Class"|19947|"£35 10s "|||"Southampton"|"Businessman"|"D"|||
"WRIGHT, Mr George"|62|"1st Class"|113807|"£26 11s "|||"Southampton"|"Businessman"||||
"YOUNG, Miss Marie Grice"|36|"1st Class"|17760|"£135 12s 8d"|||"Cherbourg"||"8"|||
