,CAMPO,DESCRIP
438,DISC12_R,Porcentaje de poblacion con limitacion para poner atencion o aprender cosas sencillas.
439,DISC13_R,Porcentaje de poblacion con limitacion mental.
440,DISC14_R,Porcentaje de poblacion con discapacidad derechohabiente a servicios de salud
441,EDU1_R,Porcentaje de poblacion de 3 a 5 anos que asiste a la escuela
442,EDU2_R,Porcentaje de poblacion femenina de 3 a 5 anos que asiste a la escuela
443,EDU3_R,Porcentaje de poblacion masculina de 3 a 5 anos que asiste a la escuela
444,EDU4_R,Porcentaje de poblacion de 3 a 5 anos que no asiste a la escuela
445,EDU5_R,Porcentaje de poblacion femenina de 3 a 5 anos que no asiste a la escuela
446,EDU6_R,Porcentaje de poblacion masculina de 3 a 5 anos que no asiste a la escuela
447,EDU7_R,Porcentaje de poblacion de 6 a 11 anos que asiste a la escuela
448,EDU8_R,Porcentaje de poblacion femenina de 6 a 11 anos que asiste a la escuela
449,EDU9_R,Porcentaje de poblacion masculina de 6 a 11 anos que asiste a la escuela
450,EDU10_R,Porcentaje de poblacion de 6 a 11 anos que no asiste a la escuela
451,EDU11_R,Porcentaje de poblacion femenina de 6 a 11 anos que no asiste a la escuela
452,EDU12_R,Porcentaje de poblacion masculina de 6 a 11 anos que no asiste a la escuela
453,EDU13_R,Porcentaje de poblacion de 12 a 14 anos que asiste a la escuela
454,EDU14_R,Porcentaje de poblacion femenina de 12 a 14 anos que asiste a la escuela
455,EDU15_R,Porcentaje de poblacion masculina de 12 a 14 anos que asiste a la escuela
456,EDU16_R,Porcentaje de poblacion de 12 a 14 anos que no asiste a la escuela
457,EDU17_R,Porcentaje de poblacion femenina de 12 a 14 anos que no asiste a la escuela
458,EDU18_R,Porcentaje de poblacion masculina de 12 a 14 anos que no asiste a la escuela
459,EDU19_R,Porcentaje de poblacion de 8 a 14 anos que sabe leer y escribir
460,EDU20_R,Porcentaje de poblacion femenina de 8 a 14 anos que sabe leer y escribir
461,EDU21_R,Porcentaje de poblacion masculina de 8 a 14 anos que sabe leer y escribir
462,EDU22_R,Porcentaje de poblacion de 8 a 14 anos que no sabe leer y escribir
463,EDU23_R,Porcentaje de poblacion femenina de 8 a 14 anos que no sabe leer y escribir
464,EDU24_R,Porcentaje de poblacion masculina de 8 a 14 anos que no sabe leer y escribir
465,EDU25_R,Porcentaje de poblacion de 15 anos y mas alfabeta
466,EDU26_R,Porcentaje de poblacion femenina  de 15 anos y mas alfabeta
467,EDU27_R,Porcentaje de poblacion masculina de 15 anos y mas alfabeta
468,EDU28_R,Porcentaje de poblacion de 15 anos y mas analfabeta
469,EDU29_R,Porcentaje de poblacion femenina de 15 anos y mas analfabeta
470,EDU30_R,Porcentaje de poblacion masculina de 15 anos y mas analfabeta
471,EDU31_R,Porcentaje de poblacion de 15 anos y mas sin escolaridad
472,EDU32_R,Porcentaje de poblacion femenina de 15 anos y mas sin escolaridad
473,EDU33_R,Porcentaje de poblacion masculina de 15 anos y mas sin escolaridad
474,EDU34_R,Porcentaje de poblacion de 15 anos y mas con educacion basica incompleta
475,EDU35_R,Porcentaje de poblacion femenina de 15 anos y mas con educacion basica incompleta.
476,EDU36_R,Porcentaje de poblacion masculina de 15 anos y mas con educacion basica incompleta.
477,EDU37_R,Porcentaje de poblacion de 15 anos y mas con educacion basica completa.
478,EDU38_R,Porcentaje de poblacion femenina de 15 anos y mas con educacion basica completa.
479,EDU39_R,Porcentaje de poblacion masculina de 15 anos y mas con educacion basica completa.
480,EDU40_R,Porcentaje de poblacion de 15 anos y mas con educacion pos-basica
481,EDU41_R,Porcentaje de poblacion femenina de 15 anos y mas con educacion pos-basica
482,EDU42_R,Porcentaje de poblacion masculina de 15 anos y mas con educacion pos-basica
483,EDU43_R,Porcentaje de poblacion de 18 anos y mas con al menos un grado aprobado en educacion media superior
484,EDU44_R,Porcentaje de poblacion femenina 18 anos y mas con al menos un grado aprobado en educacion media superior
485,EDU45_R,Porcentaje de poblacion masculina de 18 anos y mas con al menos un grado aprobado en educacion media superior
486,EDU46_R,Porcentaje de poblacion de 25 anos y mas con al menos un grado aprobado en educacion superior
487,EDU47_R,Porcentaje de poblacion femenina de 25 anos y mas con al menos un grado aprobado en educacion superior
488,EDU48_R,Porcentaje de poblacion masculina de 25 anos y mas con al menos un grado aprobado en educacion superior
489,EDU49_R,Grado promedio de escolaridad
490,EDU50_R,Grado promedio de escolaridad de la poblacion femenina
491,EDU51_R,Grado promedio de escolaridad de la poblacion masculina
492,ECO1_R,Porcentaje de poblacion economicamente activa
493,ECO2_R,Porcentaje de poblacion femenina economicamente activa
494,ECO3_R,Porcentaje de poblacion masculina economicamente activa
495,ECO4_R,Porcentaje de poblacion ocupada
496,ECO5_R,Porcentaje de poblacion femenina ocupada
497,ECO6_R,Porcentaje de poblacion masculina ocupada
498,ECO7_R,Porcentaje de poblacion ocupada de 12 anos y mas sin escolaridad
499,ECO8_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas sin escolaridad
500,ECO9_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas sin escolaridad
501,ECO10_R,Porcentaje de poblacion ocupada de 12 anos y mas con al menos un grado aprobado en primaria
502,ECO11_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en primaria
503,ECO12_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en primaria
504,ECO13_R,Porcentaje de poblacion ocupada de 12 anos y mas con secundaria o equivalente incompleta
505,ECO14_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas con secundaria o equivalente incompleta
506,ECO15_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas con secundaria o equivalente incompleta
507,ECO16_R,Porcentaje de poblacion ocupada de 12 anos y mas con secundaria o equivalente completa
508,ECO17_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas con secundaria o equivalente completa
509,ECO18_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas con secundaria o equivalente completa
510,ECO19_R,Porcentaje de poblacion ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
511,ECO20_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
512,ECO21_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
513,ECO22_R,Porcentaje de poblacion ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
514,ECO23_R,Porcentaje de poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
515,ECO24_R,Porcentaje de poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
516,ECO25_R,Porcentaje de poblacion desocupada
517,ECO26_R,Porcentaje de poblacion femenina desocupada
518,ECO27_R,Porcentaje de poblacion masculina desocupada
519,ECO28_R,Porcentaje de poblacion no economicamente activa
520,ECO29_R,Porcentaje de poblacion femenina no economicamente activa
521,ECO30_R,Porcentaje de poblacion masculina no economicamente activa
522,ECO31_R,Porcentaje de poblacion de 12 anos y mas no economicamente activa que es pensionada(o) o jubilada(o)
523,ECO32_R,Porcentaje de poblacion femenina de 12 anos y mas no economicamente activa que es pensionada(o) o jubilada(o)
524,ECO33_R,Porcentaje de poblacion masculina de 12 anos y mas no economicamente activa que es pensionada(o) o jubilada(o)
525,ECO34_R,Porcentaje de poblacion de 12 anos y mas no economicamente activa que se dedica a estudiar
526,ECO35_R,Porcentaje de poblacion femenina de 12 anos y mas no economicamente activa que se dedica a estudiar
527,ECO36_R,Porcentaje de poblacion masculina de 12 anos y mas no economicamente activa que se dedica a estudiar
528,ECO37_R,Porcentaje de poblacion de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
529,ECO38_R,Porcentaje de poblacion femenina de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
530,ECO39_R,Porcentaje de poblacion masculina de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
531,ECO40_R,Porcentaje de poblacion de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
532,ECO41_R,Porcentaje de poblacion femenina de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
533,ECO42_R,Porcentaje de poblacion masculina de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
534,ECO43_R,Porcentaje de poblacion de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
535,ECO44_R,Porcentaje de poblacion femenina de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
536,ECO45_R,Porcentaje de poblacion masculina de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
537,SALUD1_R,Porcentaje de poblacion derechohabiente a servicios de salud
538,SALUD2_R,Porcentaje de poblacion sin derechohabiencia a servicios de salud Ê
539,SALUD3_R,Porcentaje de poblacion derechohabiente del IMSS Ê
540,SALUD4_R,Porcentaje de poblacion derechohabiente del ISSSTE o ISSSTE estatal
541,SALUD5_R,Porcentaje de poblacion derechohabiente por el seguro popular o Seguro Medico para una Nueva Generacion
542,SALUD6_R,"Porcentaje de poblacion derechohabiente de Pemex, Sedena o Semar"
543,SCONY1_R,Porcentaje de poblacion soltera o nunca unida de 12 anos y mas
544,SCONY2_R,Porcentaje de poblacion femenina soltera o nunca unida de 12 anos y mas
545,SCONY3_R,Porcentaje de poblacion masculina soltera o nunca unida de 12 anos y mas
546,SCONY4_R,Porcentaje de poblacion casada o unida de 12 anos y mas
547,SCONY5_R,Porcentaje de poblacion femenina casada o unida de 12 anos y mas
548,SCONY6_R,Porcentaje de poblacion masculina casada o unida de 12 anos y mas
549,SCONY7_R,Porcentaje de poblacion que estuvo casada o unida de 12 anos y mas
550,SCONY8_R,Porcentaje de poblacion femenina que estuvo casada o unida de 12 anos y mas
551,SCONY9_R,Porcentaje de poblacion masculina que estuvo casada o unida de 12 anos y mas
552,SCONY10_R,Porcentaje de poblacion casada o unida de 15 a 24 anos
553,SCONY11_R,Porcentaje de poblacion femenina casada o unida de 15 a 24 anos
554,SCONY12_R,Porcentaje de poblacion masculina casada o unida de 15 a 24 anos
555,RELIG1_R,Porcentaje de poblacion con religion catolica
556,RELIG2_R,"Porcentaje de poblacion con religiones protestantes, evangelicas y biblicas diferentes de evangelicas"
557,RELIG3_R,Porcentaje de poblacion con otras religiones diferentes a las anteriores
558,RELIG4_R,Porcentaje de poblacion sin religion
559,HOGAR2_R,Porcentaje de hogares censales con jefatura femenina
560,HOGAR3_R,Porcentaje de hogares censales con jefatura masculina
561,HOGAR5_R,Porcentaje de poblacion en hogares censales con jefatura femenina
562,HOGAR6_R,Porcentaje de poblacion en hogares censales con jefatura masculina
563,HOGAR7_R,Porcentaje de hogares censales con jefa (e) menor de 30 anos
564,HOGAR8_R,Porcentaje de hogares censales con jefa menor de 30 anos
565,HOGAR9_R,Porcentaje de hogares censales con jefe menor de 30 anos
566,HOGAR10_R,Porcentaje de poblacion en hogares censales con jefa (e) menor de 30 anos
567,HOGAR11_R,Porcentaje de poblacion en hogares censales con  jefa menor de 30 anos
568,HOGAR12_R,Porcentaje de poblacion en hogares censales con  jefe menor de 30 anos
569,HOGAR13_R,Porcentaje de hogares censales con jefa (e) de 30 a 59 anos
570,HOGAR14_R,Porcentaje de hogares censales con jefa de 30 a 59 anos
571,HOGAR15_R,Porcentaje de hogares censales con jefe de 30 a 59 anos
572,HOGAR16_R,Porcentaje de poblacion en hogares censales con jefa (e) de 30 a 59 anos
573,HOGAR17_R,Porcentaje de poblacion en hogares censales con  jefa de 30 a 59 anos
574,HOGAR18_R,Porcentaje de poblacion en hogares censales con  jefe de 30 a 59 anos
575,HOGAR19_R,Porcentaje de hogares censales con jefa (e) de 60 anos y mas
576,HOGAR20_R,Porcentaje de hogares censales con jefa de 60 anos y mas
577,HOGAR21_R,Porcentaje de hogares censales con  jefe de 60 anos y mas
578,HOGAR22_R,Poblacion en hogares censales con jefa (e) de 60 anos y mas
579,HOGAR23_R,Porcentaje de poblacion en hogares censales con jefa de 60 anos y mas
580,HOGAR24_R,Porcentaje de poblacion en hogares censales con jefe de 60 anos y mas
581,HOGAR25_R,Porcentaje de hogares censales nucleares conformados por la jefa con hijos menores de 18 anos
582,HOGAR26_R,Porcentaje de poblacion en hogares censales nucleares conformados por la jefa con hijos menores de 18 anos
583,VIV2_R,Porcentaje de viviendas particulares habitadas
584,VIV3_R,Porcentaje de ocupantes en viviendas particulares habitadas
585,VIV4_R,Promedio de ocupantes en viviendas particulares habitadas
586,VIV5_R,Promedio de ocupantes por cuarto en viviendas particulares habitadas
587,VIV6_R,Porcentaje de viviendas particulares habitadas con piso de tierra
588,VIV7_R,Porcentaje de viviendas particulares habitadas con un dormitorio
589,VIV8_R,Porcentaje de viviendas particulares habitadas con dos dormitorios y mas
590,VIV9_R,Porcentaje de viviendas particulares habitadas con mas de 2.5 ocupantes por dormitorio
591,VIV10_R,Porcentaje de viviendas particulares habitadas con un solo cuarto
592,VIV11_R,Porcentaje de viviendas particulares habitadas con dos cuartos
593,VIV12_R,Porcentaje de viviendas particulares habitadas con 3 cuartos y mas
594,VIV13_R,Porcentaje de viviendas particulares habitadas con mas de 3 ocupantes por cuarto
595,VIV14_R,Porcentaje de viviendas particulares habitadas que disponen de luz electrica
596,VIV15_R,Porcentaje de viviendas particulares habitadas que no disponen de luz electrica
597,VIV16_R,Porcentaje de viviendas particulares habitadas que disponen de agua entubada en el ambito de la vivienda
598,VIV17_R,Porcentaje de viviendas particulares habitadas que no disponen de agua entubada en el ambito de la vivienda
599,VIV18_R,Porcentaje de ocupantes en viviendas particulares con acceso a agua entubada en el ambito de la vivienda
600,VIV19_R,Porcentaje de viviendas particulares habitadas que disponen de excusado o sanitario
601,VIV20_R,Porcentaje de viviendas particulares habitadas que no disponen de excusado o sanitario
602,VIV21_R,Porcentaje de ocupantes en viviendas particulares que disponen de excusado con admision de agua y drenaje
603,VIV22_R,Porcentaje de viviendas particulares habitadas que disponen de drenaje
604,VIV23_R,Porcentaje de viviendas particulares habitadas que no disponen de drenaje
605,VIV24_R,"Porcentaje de viviendas particulares habitadas que disponen de luz electrica, agua entubada de la red publica y drenaje"
606,VIV25_R,"Porcentaje de viviendas particulares habitadas que no disponen de luz electrica, agua entubada de la red publica y  drenaje"
607,VIV26_R,Porcentaje de viviendas particulares habitadas que disponen de refrigerador
608,VIV27_R,Porcentaje de viviendas particulares habitadas que disponen de lavadora
609,VIV28_R,Porcentaje de viviendas particulares habitadas que disponen de automovil o camioneta
610,VIV29_R,Porcentaje de viviendas particulares habitadas que no disponen de refrigerador ni lavadora
611,VIV30_R,"Porcentaje de viviendas particulares habitadas que no disponen de refrigerador, lavadora ni automovil o camioneta"
612,VIV31_R,Porcentaje de viviendas particulares habitadas que disponen de radio
613,VIV32_R,Porcentaje de viviendas particulares habitadas que disponen de televisor
614,VIV33_R,Porcentaje de viviendas particulares habitadas que disponen de computadora
615,VIV34_R,Porcentaje de viviendas particulares habitadas que disponen de linea telefonica fija
616,VIV35_R,Porcentaje de viviendas particulares habitadas que disponen de telefono celular
617,VIV36_R,Porcentaje de viviendas particulares habitadas que disponen de internet
618,VIV37_R,Porcentaje de viviendas particulares habitadas sin radio ni televisor
619,VIV38_R,Porcentaje de viviendas particulares habitadas sin linea telefonica ni telefono celular
620,VIV39_R,Porcentaje de viviendas particulares habitadas sin computadora ni Internet
621,VIV40_R,Porcentaje de viviendas particulares habitadas sin tecnologias de la informacion y la comunicacion (TIC)
622,VIV41_R,Porcentaje de viviendas particulares habitadas sin ningun bien
623,NOM_PAIS,Pais
624,NOM_ENT,Entidad federativa
625,CVEGEO,Clave geoestadistica
626,CVE_GEO,Clave geoestadistica
627,NOM_MUN,Municipio o delegacion
628,NOM_LOC,Localidad
629,NOM_ZONA,Zona Metropolitana
630,TOT_LOC,Total de localidades urbanas (Marco Geoestadistico 2005)
631,TOT_MUN,Total de municipios (Marco Geoestadistico 2005)
632,CVE_AGEB,Clave de AGEB
633,FECHAACT,Fecha de actualizacion
634,OID,Identificador
635,NOMBRE,Nombre
636,CABECERA,Cabecera municipal
637,GEOGRAFICO,Tipo geografico
638,DESTINO,Destino
639,NOMVIAL,Nombre de la vialidad
640,SENTIDO,Sentido de la vialidad
641,TIPOVIAL,Tipo de la vialidad
642,CONDICION,Condicion
643,TIPO,Tipo
